Revision longitud x2.0 — pendientes: 215 keys
========================================================================================================================
Key                                                            EN                                 ES                                               Ratio
pit_weapon_attachments_drop_prompt_title                       Attachment Swap Warning            Advertencia de intercambio de archivos adjunto   2.04
pause_OptionsPartyNameplateDistance                            Party Nameplate Distance           Distancia de la placa de identificacion del gr   2.04
hmd_OptionsUIScale                                             [Experimental] VR - UI Scale       [Experimental] VR - Escala de la Interfaz de U   2.04
Tut03_Part01_Obj03_ToSpaceport                                 Exit at ~mission(SpaceportStopNa   Sal del transbordador en el puerto espacial ~m   2.03
ASD_CooldownTimer,P                                            Cooldown Timer                     Temporizador de Enfriamiento                     2.00
Boarding_Gate_Try_Again                                        Try Again                          Intentelo de nuevo                               2.00
ClovusDarneely_RepUI_Occupation                                Clerk                              Oficinista                                       2.00
DXSM_SSCV_ANVL_OEM_UI_Shields_Hit_Bottom,P                     Deck Hit                           Impacto inferior                                 2.00
DXSM_SSCV_ARGO_OEM_UI_HUD_Landing_Mode_Active,P                HUD Landing ON                     HUD de aterrizaje  ENCENDIDO                     2.00
DXSM_SSCV_CNOU_OEM_UI_Shields_Hit_Left,P                       Left Shield hit                    Impacto en el escudo izquierdo                   2.00
DXSM_SSCV_DRAK_OEM_UI_HUD_Landing_Mode_Active,P                Landing mode is on                 El modo de aterrizaje esta activado.             2.00
DXSM_SSCV_ESPR_OEM_UI_Systems_Ejection_Online,P                Eject system ON                    Sistema de expulsion encendido                   2.00
DXSM_SSCV_ESPR_OEM_UI_Wait_For_Dock_Arm                        Hold for dock arm.                 Espera la senal del brazo de acople.             2.00
DynamicEvent_FleetWeek2022_IslandMarker_VeryHardIsland         Admin Center                       Centro de administracion                         2.00
Factions_Navy_DisplayName                                      UEE Navy                           Armada de la UEE                                 2.00
FreightElevator_Storage                                        Storage                            Almacenamiento                                   2.00
Frontend_SelectItem                                            Select Item                        Objetos seleccionados:                           2.00
Hints_Airlocks_Title                                           Airlocks                           Esclusas de Aire                                 2.00
Hints_Exit_Bed_Title                                           Exit Bed                           Salir de la Cama                                 2.00
Hints_Fuel_Title                                               Low Fuel                           Combustible bajo                                 2.00
IT_Shared_MissionComplete                                      Job's done.                        El trabajo esta hecho.                           2.00
Invictus_Expo,P                                                Area18, ArcCorp                    Centro Bevic, area 18, ArcCorp                   2.00
Kareah_EnterCode                                               Enter Code                         Introduzca el codigo                             2.00
PIT_Weapon_Gadget_Multi_Tool                                   Multi-Tool                         Herramienta multiple                             2.00
PU_ADMIN2_SK_PhysicalBump_IG_001_Easy,P                        Easy.                              Tranquilo.                                       2.00
PU_BATTAGLIA_MG_Mission_Farewell_MissionAccepted_IG_001_FlySafe,P Fly safe.                          Vuela con cuidado.                               2.00
PU_BATTAGLIA_MG_PhysicalBump_IG_LEFT_002_Easy,P                Easy.                              Con calma.                                       2.00
PU_BRUNT_MG_Transition_CommentToGiving_IG_001_Anyway           Anyway...                          De todos modos ...                               2.00
PU_GSECRPILOT01_M_BS_DamageDealt_LostShield_aPlayer_tEnemy_FromEnemy_IG_002_DamnShields Damn.                              Maldicion.                                       2.00
PU_PATRON1_M_BS_General_Expletives_Low_IG_001_Crap             Crap.                              Tonterias.                                       2.00
PU_SERVICEPILOT01_M_RE_Inform_InProgress_Refueling_aNeutral_tPlayer_FromNeutral_IG_001,P Refueling is now in progress.      El reabastecimiento de combustible esta ahora    2.00
RN_Presets_Default,P                                           Default                            Predeterminado                                   2.00
RN_PreviewMode_Title,P                                         Preview Mode                       Modo de Previsualizacion                         2.00
RacingRep_Ship_Rank10                                          Ace Racer                          As de las Carreras                               2.00
RepStanding_TransportGuild_Rank1                               Rookie                             Principiante                                     2.00
StatName_GPP_Weapon_FireRate                                   Fire Rate                          Velocidad de fuego                               2.00
Test_Set_B                                                     Set B                              Conjunto B                                       2.00
Test_Set_C                                                     Set C                              Conjunto C                                       2.00
TheCollector_Recipes_Title_NonePistol                          Hot Shot                           Disparo Caliente                                 2.00
Tut01_Obj01_ExitBed                                            Exit Bed                           Salir de la cama                                 2.00
Tut02_Obj04_SellItem_HUD                                       Use Kiosk                          Quiosco de compras                               2.00
Tut03_Part01_Obj03_ToSpaceport_Long                            Exit at ~mission(SpaceportStopNa   Sal del transbordador en el puerto espacial ~m   2.00
VendingMachine_Rack_FixJam                                     Fix Jam                            Reparar atasco                                   2.00
area_name_foodcourt                                            Food Court                         Zona de restauracion                             2.00
area_name_warehouse                                            Storage Depot                      Deposito de Almacenamiento                       2.00
blood_datapad_to_01                                            To: IT Dept.                       Para: Departamento de TI                         2.00
cc_colon                                                       Colon                              Dos puntos                                       2.00
chat_filter_display_combat_info                                Combat info                        informacion de combate                           2.00
comm_Array_ConnectionOnline                                    Uplink Online                      Enlace ascendente en linea                       2.00
commarray_hack_obj_marker_02                                   Disable Uplink                     Desactivar enlace ascendente                     2.00
crafting_ui_autoFill,P                                         Auto Fill                          Relleno Automatico                               2.00
dfm_ui_RaceResettingLap                                        Resetting Lap                      Restablecimiento de vuelta                       2.00
dfm_ui_Respawns                                                RESPAWNS                           REAPARECIMIENTOS                                 2.00
ea_ui_RulesLapCount                                            Lap Count:                         Recuento de vueltas:                             2.00
ea_ui_deathinfo_Melee                                          Melee Kill                         Baja cuerpo a cuerpo                             2.00
ea_ui_frontend_AnyMap                                          Any Map                            Cualquier mapa                                   2.00
ea_ui_frontend_AnyTeam                                         Any Team                           Cualquier equipo                                 2.00
escort_scan_ally_004                                           scout                              Explorador                                       2.00
fine_terminal_esclated                                         Late Fee                           Cargo por demora                                 2.00
fine_terminal_login_001                                        Login As User                      Inicia sesion como usuario                       2.00
hud_actorStatus_injuryWarning_bodyPart_leftLeg                 Left leg                           Pierna izquierda                                 2.00
input_key_keyboard_rightCtrl_short                             R-Ctrl                             Ctrl derecho                                     2.00
input_key_mouse_wheelUp                                        Mouse Wheel Up                     Rueda del raton hacia arriba                     2.00
input_unbound_short                                            Unbound                            Sin consolidar                                   2.00
interaction_condition_seatedItemRestrictions_heldItem          Held Item                          Articulo Sostenido                               2.00
itemPort_flair                                                 Flair                              Decoracion                                       2.00
itemPort_port_hardpoint_missile_door_cap                       Deck Cap                           Tapa de cubierta                                 2.00
item_NameDefault_FuelTank                                      Fuel Tank                          tanque combustible                               2.00
item_NameIdris_PowerPlant                                      Main Powerplant                    Generador de Energia Principal                   2.00
item_NamePlayerDeco_Seat_Armchair_HeadHunter_1_a               Warlord Throne                     Trono del Señor de la Guerra                     2.00
item_Name_hdh_shirt_01_01_01                                   Samya Tank White                   Camiseta de Tirantes Samya White                 2.00
item_Name_hdh_shirt_01_01_15                                   Samya Tank Birch                   Camiseta de Tirantes Samya Birch                 2.00
item_Name_hdh_shirt_01_01_17                                   Samya Tank Storm                   Camiseta de Tirantes Samya Storm                 2.00
item_TypeAmmoBox                                               Ammo Box                           Caja de municion                                 2.00
item_shortNameStorAll_ATLS_inventory                           GEO Pod                            Contenedor GEO                                   2.00
itemport_hardpoint_heat_sink                                   Heat Sink                          Disipador de calor                               2.00
journal_shopAlerts_belowThresholdHeading                       Understock                         Falta de existencias                             2.00
kiosk_LabelPort                                                Item Port:                         Puerto del articulo:                             2.00
med_Heal_LeftLeg                                               Left Leg                           Pierna Izquierda                                 2.00
med_statuseffect_overdosedamage,P                              Drug overdose                      Sobredosis de medicamentos                       2.00
meet_miles_lg_title                                            Eckhart Security Job Op            Oportunidad de trabajo de seguridad de Eckhart   2.00
mg_miles_recoverStolen_item_0004                               merch                              mercaderia                                       2.00
mg_pacheco_stealstash_marker_04                                Drop Off                           Punto de entrega                                 2.00
mg_ruto_blackboxillegal_title_0001                             box pull                           tirar de la caja                                 2.00
mg_ruto_commhack_title_0003                                    Comm Down                          Comunicacion caida                               2.00
mission_location_pyro_049                                      Pyro II Cave                       Cueva en Monox (Pyro II)                         2.00
mission_location_stanton_0041                                  the lab                            el laboratorio                                   2.00
notification_party_launch_sent_Title                           Party Launch Sent                  Solicitud de sesion grupal enviada               2.00
pause_CommsWizard_HeadtrackingSetup                            Head Tracking Setup                Configuracion de seguimiento de cabeza           2.00
pause_FilmGrain                                                Film Grain                         Grano de la pelicula                             2.00
pause_OptionsManualGimbalFreeLookSameAsDefault                 Same As Default                    Lo mismo que el predeterminado                   2.00
port_NameCooler                                                Cooler                             Refrigerador                                     2.00
pyro_stationdecal_P5L2,P                                       GASLIGHT                           PYAM-FARSTAT-5-2                                 2.00
refinery_ui_getQuote                                           Get Quote                          Obtener cotizacion                               2.00
refueling_ui_FuelTank_Controls                                 Fuel Pod Control                   Control de tanque de combustible                 2.00
refueling_ui_General_OperationSystem                           // Refueling System V72.00         // Sistema de reabastecimiento de combustible    2.00
roughready_claimsweep_title_easy                               Silence Spying Op                  Operacion de espionaje en silencio               2.00
roughready_claimsweep_title_medium                             Squash Spying Op                   Operacion de espionaje de Squash                 2.00
shop_ui_checkout                                               CHECKOUT                           FINALIZAR COMPRA                                 2.00
shop_ui_list_column_quantity_owned                             QTY OWNED                          CANTIDAD PROPIEDAD                               2.00
text_collectible_type_datapad                                  Datapad                            panel de datos                                   2.00
text_ui_charactercustomizer_retry,P                            Retry                              Reintentar                                       2.00
text_ui_charactercustomizer_scars,P                            Scars                              Cicatrices                                       2.00
ui_CG_SR_Mode                                                  Server Renderer (dev only)         Renderizador de servidor (solo para desarrolla   2.00
ui_CIAdvanCamFOVIncrease                                       Increase FoV                       Aumentar campo de vision                         2.00
ui_CIEVAPitch                                                  Pitch Up/Down                      Cabeceo hacia arriba/abajo                       2.00
ui_CIEVAStrafeLateral                                          Strafe Left/Right                  Desplazarse a la izquierda/derecha               2.00
ui_CIEVAStrafeRight                                            Strafe Right                       Desplazarse a la derecha                         2.00
ui_CIEVAViewYawLeft                                            View Left                          Ver a la izquierda                               2.00
ui_CIEmoteAgree                                                Agree                              De acuerdo                                       2.00
ui_CIFPSMoveDodgeBack                                          Dodge Back                         Esquivar hacia atras                             2.00
ui_CIFPSZoomIn,P                                               Zoom In                            Acercar (mira)                                   2.00
ui_CIHUDPanelUp                                                HUD move focus up                  Mover enfoque del HUD hacia arriba               2.00
ui_CIPitchAim                                                  Aim up / down                      Apuntar hacia arriba/abajo                       2.00
ui_COAimMode                                                   Aim Mode                           Modo de apuntado                                 2.00
ui_COUpDown                                                    Look Up/Down                       Mirar hacia arriba/abajo                         2.00
ui_CurveCustomData                                             Custom                             Personalizar                                     2.00
ui_Inventory_ContainerStatus_TooSmall                          Cannot fit inside                  El contenedor es demasiado pequeño               2.00
ui_Inventory_ContainerType_Clothing_Legs                       Hip Pockets                        Bolsillos del Pantalon                           2.00
ui_LookAhead_aimdecay                                          Look Ahead Aim Decay               Deterioro de apuntado en vista delantera         2.00
ui_PortName                                                    Port Name                          Nombre del anclaje                               2.00
ui_PortUnlockAll                                               Port Unlock All                    Desbloquear todos los anclajes                   2.00
ui_Score                                                       SCORE                              PUNTUACION                                       2.00
ui_controlhint_firemode_heal_exit                              Aim Fwd.                           Apuntar Adelante                                 2.00
ui_controlhint_ladder_old_slide                                Slide                              Deslizarse                                       2.00
ui_controlhint_medgun_setDosage                                Set Dose                           Establecer dosis                                 2.00
ui_controlhint_pc_qs_deployable                                Deployables                        Seleccion de artefacto                           2.00
ui_deselect                                                    Deselect                           Quitar seleccion                                 2.00
ui_hacking_ability_swap_name_gui                               SWAP.bat                           INTERCAMBIAR.bat                                 2.00
ui_hacking_login_username                                      Username:                          Nombre de usuario:                               2.00
ui_interactor_Main_Deck                                        Main Deck                          Cubierta principal                               2.00
ui_interactor_QED_On                                           QED ON                             DBC ACTIVADO                                     2.00
ui_interactor_carrack_lowerbridge                              Lower Bridge                       Puente de mando inferior                         2.00
ui_interactor_carrack_upperbridge                              Upper Bridge                       Puente de mando superior                         2.00
ui_interactor_exit_right                                       Exit Right                         Salir por la derecha                             2.00
ui_interactor_power_off                                        Power Off                          Desactivar energia                               2.00
ui_inventory_ammo_contains                                     Ammo Count                         Cantidad de municion                             2.00
ui_inventory_interaction_swapview,P                            Swap View                          Intercambiar vista                               2.00
ui_leaderboards_DmgRatio                                       Dmg Ratio                          Proporcion de daño                               2.00
ui_leaderboards_Score                                          Score                              Puntuacion                                       2.00
ui_v_weapon_pip_set_lead                                       Set Lead PIPs                      Establecer PIP principales                       2.00
vehicle_container_Key003                                       Passcode                           Codigo de acceso                                 2.00
vehicle_interactor_CountermeasureType_Flare                    Set Decoy                          Establecer bengala                               2.00
vehicle_interactor_PinTarget                                   Pin Target                         Objetivo de fijacion                             2.00
vehicle_interactor_Screens_Enable                              Screens On                         Pantallas encendidas                             2.00
vehicle_room_bomb_bay                                          Bomb Bay                           Bodega de bombas                                 2.00
